Original Index,Sample Date,Lab Sample ID,Analyte,Reporting Value,Result,coordinates,x,y
45,11/02/23,380-69707-3,,All SVOCs are ND (Non-detect) ,,"[-156.674366637876, 20.8831103961765]",-156.674366637876,20.8831103961765
46,10/09/2023,380-66564-1,Benzene,,0.63,"[-156.673984926721, 20.8831000125807]",-156.673984926721,20.8831000125807
47,10/9/2023,380-68053-1,,All VOCs are ND (Non-detect) ,,"[-156.673650877936, 20.8832762595097]",-156.673650877936,20.8832762595097
47,10/19/2023,380-68053-1,,All VOCs are ND (Non-detect),,"[-156.673650877936, 20.8832762595097]",-156.673650877936,20.8832762595097
48,10/09/2023,380-66565-1,Benzene,,43.0,"[-156.671052672515, 20.8842847005231]",-156.671052672515,20.8842847005231
48,10/09/2023,380-66565-1,Toluene,,0.67,"[-156.671052672515, 20.8842847005231]",-156.671052672515,20.8842847005231
48,10/16/23,380-67513-5,Benzene,,1.3,"[-156.671052672515, 20.8842847005231]",-156.671052672515,20.8842847005231
49,10/09/2023,380-66838-1,Bis(2-ethylhexyl) phthalate,,0.91,"[-156.670938644574, 20.8841794442707]",-156.670938644574,20.8841794442707
50,10/09/2023,380-66838-1,Bis(2-ethylhexyl) phthalate,,1.6,"[-156.671238108258, 20.8839356377303]",-156.671238108258,20.8839356377303
51,10/09/2023,380-66838-1,Bis(2-ethylhexyl) phthalate,,1.6,"[-156.671197236574, 20.8839561997682]",-156.671197236574,20.8839561997682
52,10/16/2023,380-67524-1,,All SVOCs are ND (Non-detect) ,,"[-156.67493739965, 20.8824853752996]",-156.67493739965,20.8824853752996
52,10/16/2023,380-67532-1,,All VOCs are ND (Non-detect),,"[-156.67493739965, 20.8824853752996]",-156.67493739965,20.8824853752996
53,10/16/2023,380-67524-1,,All SVOCs are ND (Non-detect) ,,"[-156.674874520119, 20.8825096093012]",-156.674874520119,20.8825096093012
53,10/16/23,380-67532-2,Benzene,,2.2,"[-156.674874520119, 20.8825096093012]",-156.674874520119,20.8825096093012
54,10/16/2023,380-67524-2,,All SVOCs are ND (Non-detect)  ,,"[-156.675229790222, 20.8824104701483]",-156.675229790222,20.8824104701483
54,10/16/2023,380-67532-4,,All VOCs are ND (Non-detect),,"[-156.675229790222, 20.8824104701483]",-156.675229790222,20.8824104701483
55,10/16/2023,380-67524-2,,All SVOCs are ND (Non-detect) ,,"[-156.67529738579, 20.8824038609705]",-156.67529738579,20.8824038609705
55,10/16/23,380-67532-3,Benzene,,2.1,"[-156.67529738579, 20.8824038609705]",-156.67529738579,20.8824038609705
56,10/16/2023,380-67524-3,,All SVOCs are ND (Non-detect) ,,"[-156.675556763922, 20.8824016572017]",-156.675556763922,20.8824016572017
56,10/16/2023,380-67532-6,,All VOCs are ND (Non-detect),,"[-156.675556763922, 20.8824016572017]",-156.675556763922,20.8824016572017
57,10/16/2023,380-67524-3,,All SVOCs are ND (Non-detect) ,,"[-156.675592919906, 20.882406798186]",-156.675592919906,20.882406798186
57,10/16/2023,380-67532-5,,All VOCs are ND (Non-detect),,"[-156.675592919906, 20.882406798186]",-156.675592919906,20.882406798186
58,10/16/2023,380-67524-4,,All SVOCs are ND (Non-detect) ,,"[-156.675894741513, 20.8824736255633]",-156.675894741513,20.8824736255633
58,10/16/2023,380-67532-8,,All VOCs are ND (Non-detect),,"[-156.675894741513, 20.8824736255633]",-156.675894741513,20.8824736255633
59,10/16/2023,380-67524-4,,All SVOCs are ND (Non-detect) ,,"[-156.67592775385, 20.8824853754195]",-156.67592775385,20.8824853754195
59,10/16/23,380-67532-7,Toluene,,0.52,"[-156.67592775385, 20.8824853754195]",-156.67592775385,20.8824853754195
60,10/16/2023,380-67507-1,,All SVOCs are ND (Non-detect)  ,,"[-156.67662353203, 20.8825531280303]",-156.67662353203,20.8825531280303
60,10/16/23,380-67519-2,Benzene,,13.0,"[-156.67662353203, 20.8825531280303]",-156.67662353203,20.8825531280303
61,10/16/2023,380-67507-1,,All SVOCs are ND (Non-detect) ,,"[-156.67666440363, 20.8825435813125]",-156.67666440363,20.8825435813125
61,10/16/23,380-67519-3,Benzene,,3.5,"[-156.67666440363, 20.8825435813125]",-156.67666440363,20.8825435813125
62,10/16/2023,380-67507-2,,All SVOCs are ND (Non-detect) ,,"[-156.677057401438, 20.882365864648]",-156.677057401438,20.882365864648
62,10/16/23,380-67519-4,Benzene,,0.77,"[-156.677057401438, 20.882365864648]",-156.677057401438,20.882365864648
63,10/16/2023,380-67507-2,,All SVOCs are ND (Non-detect) ,,"[-156.677090413204, 20.8823519117233]",-156.677090413204,20.8823519117233
63,10/16/2023,380-67519-5,,All VOCs are ND (Non-detect),,"[-156.677090413204, 20.8823519117233]",-156.677090413204,20.8823519117233
